,WG,AC,ON,OF,MT,SL,SW,SA,SG,TL,TW,TA,TG,IV,Total,driver,kart,tire,glider
4129141487861415171514,4.0,12.0,9.0,14.0,14.0,8.0,7.0,8.0,6.0,14.0,15.0,17.0,15,14,157.0,43551111101010106,3134424323513,33363342111225,12202001111020
5119141397871415171415,5.0,11.0,9.0,14.0,13.0,9.0,7.0,8.0,7.0,14.0,15.0,17.0,14,15,158.0,43551111101010106,3134424323513,33363342111225,21201101211011
3128151488861414181515,3.0,12.0,8.0,15.0,14.0,8.0,8.0,8.0,6.0,14.0,14.0,18.0,15,15,158.0,43551111101010106,3134424323514,33363342111225,2112011110120
4118151398771414181416,4.0,11.0,8.0,15.0,13.0,9.0,8.0,7.0,7.0,14.0,14.0,18.0,14,16,158.0,43551111101010106,3134424323514,33363342111225,11111110210111
4129141487861415171515,4.0,12.0,9.0,14.0,14.0,8.0,7.0,8.0,6.0,14.0,15.0,17.0,15,15,158.0,43551111101010106,3134424323514,33363342111225,12202001111020
5119141397871415171416,5.0,11.0,9.0,14.0,13.0,9.0,7.0,8.0,7.0,14.0,15.0,17.0,14,16,159.0,43551111101010106,3134424323514,33363342111225,21201101211011
496111397771515171314,4.0,9.0,6.0,11.0,13.0,9.0,7.0,7.0,7.0,15.0,15.0,17.0,13,14,147.0,43551111101010106,3134424323513,40122431222105,2112011110120
5861112107681515171215,5.0,8.0,6.0,11.0,12.0,10.0,7.0,6.0,8.0,15.0,15.0,17.0,12,15,147.0,43551111101010106,3134424323513,40122431222105,11111110210111
597101396771516161314,5.0,9.0,7.0,10.0,13.0,9.0,6.0,7.0,7.0,15.0,16.0,16.0,13,14,147.0,43551111101010106,3134424323513,40122431222105,12202001111020
6871012106781516161215,6.0,8.0,7.0,10.0,12.0,10.0,6.0,7.0,8.0,15.0,16.0,16.0,12,15,148.0,43551111101010106,3134424323513,40122431222105,21201101211011
496111397771515171315,4.0,9.0,6.0,11.0,13.0,9.0,7.0,7.0,7.0,15.0,15.0,17.0,13,15,148.0,43551111101010106,3134424323514,40122431222105,2112011110120
5861112107681515171216,5.0,8.0,6.0,11.0,12.0,10.0,7.0,6.0,8.0,15.0,15.0,17.0,12,16,148.0,43551111101010106,3134424323514,40122431222105,11111110210111
597101396771516161315,5.0,9.0,7.0,10.0,13.0,9.0,6.0,7.0,7.0,15.0,16.0,16.0,13,15,148.0,43551111101010106,3134424323514,40122431222105,12202001111020
6871012106781516161216,6.0,8.0,7.0,10.0,12.0,10.0,6.0,7.0,8.0,15.0,16.0,16.0,12,16,149.0,43551111101010106,3134424323514,40122431222105,21201101211011
4118161486861314161414,4.0,11.0,8.0,16.0,14.0,8.0,6.0,8.0,6.0,13.0,14.0,16.0,14,14,152.0,43551111101010106,3134424323513,42373322101015,2112011110120
5108161396771314161315,5.0,10.0,8.0,16.0,13.0,9.0,6.0,7.0,7.0,13.0,14.0,16.0,13,15,152.0,43551111101010106,3134424323513,42373322101015,11111110210111
5119151485861315151414,5.0,11.0,9.0,15.0,14.0,8.0,5.0,8.0,6.0,13.0,15.0,15.0,14,14,152.0,43551111101010106,3134424323513,42373322101015,12202001111020
6109151395871315151315,6.0,10.0,9.0,15.0,13.0,9.0,5.0,8.0,7.0,13.0,15.0,15.0,13,15,153.0,43551111101010106,3134424323513,42373322101015,21201101211011
4118161486861314161415,4.0,11.0,8.0,16.0,14.0,8.0,6.0,8.0,6.0,13.0,14.0,16.0,14,15,153.0,43551111101010106,3134424323514,42373322101015,2112011110120
5108161396771314161316,5.0,10.0,8.0,16.0,13.0,9.0,6.0,7.0,7.0,13.0,14.0,16.0,13,16,153.0,43551111101010106,3134424323514,42373322101015,11111110210111
5119151485861315151415,5.0,11.0,9.0,15.0,14.0,8.0,5.0,8.0,6.0,13.0,15.0,15.0,14,15,153.0,43551111101010106,3134424323514,42373322101015,12202001111020
6109151395871315151316,6.0,10.0,9.0,15.0,13.0,9.0,5.0,8.0,7.0,13.0,15.0,15.0,13,16,154.0,43551111101010106,3134424323514,42373322101015,21201101211011
0157101666871515191412,0.0,15.0,7.0,10.0,16.0,6.0,6.0,8.0,7.0,15.0,15.0,19.0,14,12,150.0,5435111199996,3134424323513,5135122233423,2112011110120
1147101576781515191313,1.0,14.0,7.0,10.0,15.0,7.0,6.0,7.0,8.0,15.0,15.0,19.0,13,13,150.0,5435111199996,3134424323513,5135122233423,11111110210111
115891665871516181412,1.0,15.0,8.0,9.0,16.0,6.0,5.0,8.0,7.0,15.0,16.0,18.0,14,12,150.0,5435111199996,3134424323513,5135122233423,12202001111020
214891575881516181313,2.0,14.0,8.0,9.0,15.0,7.0,5.0,8.0,8.0,15.0,16.0,18.0,13,13,151.0,5435111199996,3134424323513,5135122233423,21201101211011
016611175768161619169,0.0,16.0,6.0,11.0,17.0,5.0,7.0,6.0,8.0,16.0,16.0,19.0,16,9,152.0,5435111199996,3134424323513,6046030344440,2112011110120
1156111667591616191510,1.0,15.0,6.0,11.0,16.0,6.0,7.0,5.0,9.0,16.0,16.0,19.0,15,10,152.0,5435111199996,3134424323513,6046030344440,11111110210111
116710175668161718169,1.0,16.0,7.0,10.0,17.0,5.0,6.0,6.0,8.0,16.0,17.0,18.0,16,9,152.0,5435111199996,3134424323513,6046030344440,12202001111020
2157101666691617181510,2.0,15.0,7.0,10.0,16.0,6.0,6.0,6.0,9.0,16.0,17.0,18.0,15,10,153.0,5435111199996,3134424323513,6046030344440,21201101211011
1148131665791413171513,1.0,14.0,8.0,13.0,16.0,6.0,5.0,7.0,9.0,14.0,13.0,17.0,15,13,151.0,5435111199996,3134424323513,14265111421234,2112011110120
21381315756101413171414,2.0,13.0,8.0,13.0,15.0,7.0,5.0,6.0,10.0,14.0,13.0,17.0,14,14,151.0,5435111199996,3134424323513,14265111421234,11111110210111
2149121664791414161513,2.0,14.0,9.0,12.0,16.0,6.0,4.0,7.0,9.0,14.0,14.0,16.0,15,13,151.0,5435111199996,3134424323513,14265111421234,12202001111020
31391215747101414161414,3.0,13.0,9.0,12.0,15.0,7.0,4.0,7.0,10.0,14.0,14.0,16.0,14,14,152.0,5435111199996,3134424323513,14265111421234,21201101211011
1148131665791413171515,1.0,14.0,8.0,13.0,16.0,6.0,5.0,7.0,9.0,14.0,13.0,17.0,15,15,153.0,5435111199996,3134424323513,14265111421236,2112011110120
21381315756101413171416,2.0,13.0,8.0,13.0,15.0,7.0,5.0,6.0,10.0,14.0,13.0,17.0,14,16,153.0,5435111199996,3134424323513,14265111421236,11111110210111
2149121664791414161515,2.0,14.0,9.0,12.0,16.0,6.0,4.0,7.0,9.0,14.0,14.0,16.0,15,15,153.0,5435111199996,3134424323513,14265111421236,12202001111020
31391215747101414161416,3.0,13.0,9.0,12.0,15.0,7.0,4.0,7.0,10.0,14.0,14.0,16.0,14,16,154.0,5435111199996,3134424323513,14265111421236,21201101211011
21210814861071616181614,2.0,12.0,10.0,8.0,14.0,8.0,6.0,10.0,7.0,16.0,16.0,18.0,16,14,157.0,5435111199996,3134424323513,22413324244345,2112011110120
3111081396981616181515,3.0,11.0,10.0,8.0,13.0,9.0,6.0,9.0,8.0,16.0,16.0,18.0,15,15,157.0,5435111199996,3134424323513,22413324244345,11111110210111
31211714851071617171614,3.0,12.0,11.0,7.0,14.0,8.0,5.0,10.0,7.0,16.0,17.0,17.0,16,14,157.0,5435111199996,3134424323513,22413324244345,12202001111020
41111713951081617171515,4.0,11.0,11.0,7.0,13.0,9.0,5.0,10.0,8.0,16.0,17.0,17.0,15,15,158.0,5435111199996,3134424323513,22413324244345,21201101211011
2148121577881515181513,2.0,14.0,8.0,12.0,15.0,7.0,7.0,8.0,8.0,15.0,15.0,18.0,15,13,157.0,5435111199996,3134424323513,24254232333334,2112011110120
3138121487791515181414,3.0,13.0,8.0,12.0,14.0,8.0,7.0,7.0,9.0,15.0,15.0,18.0,14,14,157.0,5435111199996,3134424323513,24254232333334,11111110210111
3149111576881516171513,3.0,14.0,9.0,11.0,15.0,7.0,6.0,8.0,8.0,15.0,16.0,17.0,15,13,157.0,5435111199996,3134424323513,24254232333334,12202001111020
4139111486891516171414,4.0,13.0,9.0,11.0,14.0,8.0,6.0,8.0,9.0,15.0,16.0,17.0,14,14,158.0,5435111199996,3134424323513,24254232333334,21201101211011
2148121577881515181514,2.0,14.0,8.0,12.0,15.0,7.0,7.0,8.0,8.0,15.0,15.0,18.0,15,14,158.0,5435111199996,3134424323514,24254232333334,2112011110120
3138121487791515181415,3.0,13.0,8.0,12.0,14.0,8.0,7.0,7.0,9.0,15.0,15.0,18.0,14,15,158.0,5435111199996,3134424323514,24254232333334,11111110210111
3149111576881516171514,3.0,14.0,9.0,11.0,15.0,7.0,6.0,8.0,8.0,15.0,16.0,17.0,15,14,158.0,5435111199996,3134424323514,24254232333334,12202001111020
4139111486891516171415,4.0,13.0,9.0,11.0,14.0,8.0,6.0,8.0,9.0,15.0,16.0,17.0,14,15,159.0,5435111199996,3134424323514,24254232333334,21201101211011
31110713941051412171314,3.0,11.0,10.0,7.0,13.0,9.0,4.0,10.0,5.0,14.0,12.0,17.0,13,14,142.0,5435111199996,3134424323513,31402404020215,2112011110120
41010712104961412171215,4.0,10.0,10.0,7.0,12.0,10.0,4.0,9.0,6.0,14.0,12.0,17.0,12,15,142.0,5435111199996,3134424323513,31402404020215,11111110210111
41111613931051413161314,4.0,11.0,11.0,6.0,13.0,9.0,3.0,10.0,5.0,14.0,13.0,16.0,13,14,142.0,5435111199996,3134424323513,31402404020215,12202001111020
510116121031061413161215,5.0,10.0,11.0,6.0,12.0,10.0,3.0,10.0,6.0,14.0,13.0,16.0,12,15,143.0,5435111199996,3134424323513,31402404020215,21201101211011
3139131488861313171414,3.0,13.0,9.0,13.0,14.0,8.0,8.0,8.0,6.0,13.0,13.0,17.0,14,14,153.0,5435111199996,3134424323513,33363342111225,2112011110120
4129131398771313171315,4.0,12.0,9.0,13.0,13.0,9.0,8.0,7.0,7.0,13.0,13.0,17.0,13,15,153.0,5435111199996,3134424323513,33363342111225,11111110210111
41310121487861314161414,4.0,13.0,10.0,12.0,14.0,8.0,7.0,8.0,6.0,13.0,14.0,16.0,14,14,153.0,5435111199996,3134424323513,33363342111225,12202001111020
51210121397871314161315,5.0,12.0,10.0,12.0,13.0,9.0,7.0,8.0,7.0,13.0,14.0,16.0,13,15,154.0,5435111199996,3134424323513,33363342111225,21201101211011
3139131488861313171415,3.0,13.0,9.0,13.0,14.0,8.0,8.0,8.0,6.0,13.0,13.0,17.0,14,15,154.0,5435111199996,3134424323514,33363342111225,2112011110120
4129131398771313171316,4.0,12.0,9.0,13.0,13.0,9.0,8.0,7.0,7.0,13.0,13.0,17.0,13,16,154.0,5435111199996,3134424323514,33363342111225,11111110210111
41310121487861314161415,4.0,13.0,10.0,12.0,14.0,8.0,7.0,8.0,6.0,13.0,14.0,16.0,14,15,154.0,5435111199996,3134424323514,33363342111225,12202001111020
51210121397871314161316,5.0,12.0,10.0,12.0,13.0,9.0,7.0,8.0,7.0,13.0,14.0,16.0,13,16,155.0,5435111199996,3134424323514,33363342111225,21201101211011
410791397771414161214,4.0,10.0,7.0,9.0,13.0,9.0,7.0,7.0,7.0,14.0,14.0,16.0,12,14,143.0,5435111199996,3134424323513,40122431222105,2112011110120
597912107681414161115,5.0,9.0,7.0,9.0,12.0,10.0,7.0,6.0,8.0,14.0,14.0,16.0,11,15,143.0,5435111199996,3134424323513,40122431222105,11111110210111
510881396771415151214,5.0,10.0,8.0,8.0,13.0,9.0,6.0,7.0,7.0,14.0,15.0,15.0,12,14,143.0,5435111199996,3134424323513,40122431222105,12202001111020
698812106781415151115,6.0,9.0,8.0,8.0,12.0,10.0,6.0,7.0,8.0,14.0,15.0,15.0,11,15,144.0,5435111199996,3134424323513,40122431222105,21201101211011
410791397771414161215,4.0,10.0,7.0,9.0,13.0,9.0,7.0,7.0,7.0,14.0,14.0,16.0,12,15,144.0,5435111199996,3134424323514,40122431222105,2112011110120
597912107681414161116,5.0,9.0,7.0,9.0,12.0,10.0,7.0,6.0,8.0,14.0,14.0,16.0,11,16,144.0,5435111199996,3134424323514,40122431222105,11111110210111
510881396771415151215,5.0,10.0,8.0,8.0,13.0,9.0,6.0,7.0,7.0,14.0,15.0,15.0,12,15,144.0,5435111199996,3134424323514,40122431222105,12202001111020
698812106781415151116,6.0,9.0,8.0,8.0,12.0,10.0,6.0,7.0,8.0,14.0,15.0,15.0,11,16,145.0,5435111199996,3134424323514,40122431222105,21201101211011
4129141486861213151314,4.0,12.0,9.0,14.0,14.0,8.0,6.0,8.0,6.0,12.0,13.0,15.0,13,14,148.0,5435111199996,3134424323513,42373322101015,2112011110120
5119141396771213151215,5.0,11.0,9.0,14.0,13.0,9.0,6.0,7.0,7.0,12.0,13.0,15.0,12,15,148.0,5435111199996,3134424323513,42373322101015,11111110210111
51210131485861214141314,5.0,12.0,10.0,13.0,14.0,8.0,5.0,8.0,6.0,12.0,14.0,14.0,13,14,148.0,5435111199996,3134424323513,42373322101015,12202001111020
61110131395871214141215,6.0,11.0,10.0,13.0,13.0,9.0,5.0,8.0,7.0,12.0,14.0,14.0,12,15,149.0,5435111199996,3134424323513,42373322101015,21201101211011
4129141486861213151315,4.0,12.0,9.0,14.0,14.0,8.0,6.0,8.0,6.0,12.0,13.0,15.0,13,15,149.0,5435111199996,3134424323514,42373322101015,2112011110120
5119141396771213151216,5.0,11.0,9.0,14.0,13.0,9.0,6.0,7.0,7.0,12.0,13.0,15.0,12,16,149.0,5435111199996,3134424323514,42373322101015,11111110210111
51210131485861214141315,5.0,12.0,10.0,13.0,14.0,8.0,5.0,8.0,6.0,12.0,14.0,14.0,13,15,149.0,5435111199996,3134424323514,42373322101015,12202001111020
61110131395871214141216,6.0,11.0,10.0,13.0,13.0,9.0,5.0,8.0,7.0,12.0,14.0,14.0,12,16,150.0,5435111199996,3134424323514,42373322101015,21201101211011
10109711151517166610512,10.0,10.0,9.0,7.0,11.0,15.0,15.0,17.0,16.0,6.0,6.0,10.0,5,12,149.0,1006001010101000006,3134424323513,5135122233423,2112011110120
1199710161516176610413,11.0,9.0,9.0,7.0,10.0,16.0,15.0,16.0,17.0,6.0,6.0,10.0,4,13,149.0,1006001010101000006,3134424323513,5135122233423,11111110210111
11101061115141716679512,11.0,10.0,10.0,6.0,11.0,15.0,14.0,17.0,16.0,6.0,7.0,9.0,5,12,149.0,1006001010101000006,3134424323513,5135122233423,12202001111020
1291061016141717679413,12.0,9.0,10.0,6.0,10.0,16.0,14.0,17.0,17.0,6.0,7.0,9.0,4,13,150.0,1006001010101000006,3134424323513,5135122233423,21201101211011
1011881214161517771079,10.0,11.0,8.0,8.0,12.0,14.0,16.0,15.0,17.0,7.0,7.0,10.0,7,9,151.0,1006001010101000006,3134424323513,6046030344440,2112011110120
11108811151614187710610,11.0,10.0,8.0,8.0,11.0,15.0,16.0,14.0,18.0,7.0,7.0,10.0,6,10,151.0,1006001010101000006,3134424323513,6046030344440,11111110210111
111197121415151778979,11.0,11.0,9.0,7.0,12.0,14.0,15.0,15.0,17.0,7.0,8.0,9.0,7,9,151.0,1006001010101000006,3134424323513,6046030344440,12202001111020
1210971115151518789610,12.0,10.0,9.0,7.0,11.0,15.0,15.0,15.0,18.0,7.0,8.0,9.0,6,10,152.0,1006001010101000006,3134424323513,6046030344440,21201101211011
11910101115141618548613,11.0,9.0,10.0,10.0,11.0,15.0,14.0,16.0,18.0,5.0,4.0,8.0,6,13,150.0,1006001010101000006,3134424323513,14265111421234,2112011110120
12810101016141519548514,12.0,8.0,10.0,10.0,10.0,16.0,14.0,15.0,19.0,5.0,4.0,8.0,5,14,150.0,1006001010101000006,3134424323513,14265111421234,11111110210111
1291191115131618557613,12.0,9.0,11.0,9.0,11.0,15.0,13.0,16.0,18.0,5.0,5.0,7.0,6,13,150.0,1006001010101000006,3134424323513,14265111421234,12202001111020
1381191016131619557514,13.0,8.0,11.0,9.0,10.0,16.0,13.0,16.0,19.0,5.0,5.0,7.0,5,14,151.0,1006001010101000006,3134424323513,14265111421234,21201101211011
11910101115141618548615,11.0,9.0,10.0,10.0,11.0,15.0,14.0,16.0,18.0,5.0,4.0,8.0,6,15,152.0,1006001010101000006,3134424323513,14265111421236,2112011110120
12810101016141519548516,12.0,8.0,10.0,10.0,10.0,16.0,14.0,15.0,19.0,5.0,4.0,8.0,5,16,152.0,1006001010101000006,3134424323513,14265111421236,11111110210111
1291191115131618557615,12.0,9.0,11.0,9.0,11.0,15.0,13.0,16.0,18.0,5.0,5.0,7.0,6,15,152.0,1006001010101000006,3134424323513,14265111421236,12202001111020
1381191016131619557516,13.0,8.0,11.0,9.0,10.0,16.0,13.0,16.0,19.0,5.0,5.0,7.0,5,16,153.0,1006001010101000006,3134424323513,14265111421236,21201101211011
127125917151916779714,12.0,7.0,12.0,5.0,9.0,17.0,15.0,19.0,16.0,7.0,7.0,9.0,7,14,156.0,1006001010101000006,3134424323513,22413324244345,2112011110120
136125818151817779615,13.0,6.0,12.0,5.0,8.0,18.0,15.0,18.0,17.0,7.0,7.0,9.0,6,15,156.0,1006001010101000006,3134424323513,22413324244345,11111110210111
137134917141916788714,13.0,7.0,13.0,4.0,9.0,17.0,14.0,19.0,16.0,7.0,8.0,8.0,7,14,156.0,1006001010101000006,3134424323513,22413324244345,12202001111020
146134818141917788615,14.0,6.0,13.0,4.0,8.0,18.0,14.0,19.0,17.0,7.0,8.0,8.0,6,15,157.0,1006001010101000006,3134424323513,22413324244345,21201101211011
1291091016161717669613,12.0,9.0,10.0,9.0,10.0,16.0,16.0,17.0,17.0,6.0,6.0,9.0,6,13,156.0,1006001010101000006,3134424323513,24254232333334,2112011110120
138109917161618669514,13.0,8.0,10.0,9.0,9.0,17.0,16.0,16.0,18.0,6.0,6.0,9.0,5,14,156.0,1006001010101000006,3134424323513,24254232333334,11111110210111
1391181016151717678613,13.0,9.0,11.0,8.0,10.0,16.0,15.0,17.0,17.0,6.0,7.0,8.0,6,13,156.0,1006001010101000006,3134424323513,24254232333334,12202001111020
148118917151718678514,14.0,8.0,11.0,8.0,9.0,17.0,15.0,17.0,18.0,6.0,7.0,8.0,5,14,157.0,1006001010101000006,3134424323513,24254232333334,21201101211011
1291091016161717669614,12.0,9.0,10.0,9.0,10.0,16.0,16.0,17.0,17.0,6.0,6.0,9.0,6,14,157.0,1006001010101000006,3134424323514,24254232333334,2112011110120
138109917161618669515,13.0,8.0,10.0,9.0,9.0,17.0,16.0,16.0,18.0,6.0,6.0,9.0,5,15,157.0,1006001010101000006,3134424323514,24254232333334,11111110210111
1391181016151717678614,13.0,9.0,11.0,8.0,10.0,16.0,15.0,17.0,17.0,6.0,7.0,8.0,6,14,157.0,1006001010101000006,3134424323514,24254232333334,12202001111020
148118917151718678515,14.0,8.0,11.0,8.0,9.0,17.0,15.0,17.0,18.0,6.0,7.0,8.0,5,15,158.0,1006001010101000006,3134424323514,24254232333334,21201101211011
136124818131914538414,13.0,6.0,12.0,4.0,8.0,18.0,13.0,19.0,14.0,5.0,3.0,8.0,4,14,141.0,1006001010101000006,3134424323513,31402404020215,2112011110120
145124719131815538315,14.0,5.0,12.0,4.0,7.0,19.0,13.0,18.0,15.0,5.0,3.0,8.0,3,15,141.0,1006001010101000006,3134424323513,31402404020215,11111110210111
146133818121914547414,14.0,6.0,13.0,3.0,8.0,18.0,12.0,19.0,14.0,5.0,4.0,7.0,4,14,141.0,1006001010101000006,3134424323513,31402404020215,12202001111020
155133719121915547315,15.0,5.0,13.0,3.0,7.0,19.0,12.0,19.0,15.0,5.0,4.0,7.0,3,15,142.0,1006001010101000006,3134424323513,31402404020215,21201101211011
1381110917171715448514,13.0,8.0,11.0,10.0,9.0,17.0,17.0,17.0,15.0,4.0,4.0,8.0,5,14,152.0,1006001010101000006,3134424323513,33363342111225,2112011110120
1471110818171616448415,14.0,7.0,11.0,10.0,8.0,18.0,17.0,16.0,16.0,4.0,4.0,8.0,4,15,152.0,1006001010101000006,3134424323513,33363342111225,11111110210111
148129917161715457514,14.0,8.0,12.0,9.0,9.0,17.0,16.0,17.0,15.0,4.0,5.0,7.0,5,14,152.0,1006001010101000006,3134424323513,33363342111225,12202001111020
157129818161716457415,15.0,7.0,12.0,9.0,8.0,18.0,16.0,17.0,16.0,4.0,5.0,7.0,4,15,153.0,1006001010101000006,3134424323513,33363342111225,21201101211011
1381110917171715448515,13.0,8.0,11.0,10.0,9.0,17.0,17.0,17.0,15.0,4.0,4.0,8.0,5,15,153.0,1006001010101000006,3134424323514,33363342111225,2112011110120
1471110818171616448416,14.0,7.0,11.0,10.0,8.0,18.0,17.0,16.0,16.0,4.0,4.0,8.0,4,16,153.0,1006001010101000006,3134424323514,33363342111225,11111110210111
148129917161715457515,14.0,8.0,12.0,9.0,9.0,17.0,16.0,17.0,15.0,4.0,5.0,7.0,5,15,153.0,1006001010101000006,3134424323514,33363342111225,12202001111020
157129818161716457416,15.0,7.0,12.0,9.0,8.0,18.0,16.0,17.0,16.0,4.0,5.0,7.0,4,16,154.0,1006001010101000006,3134424323514,33363342111225,21201101211011
14596818161616557314,14.0,5.0,9.0,6.0,8.0,18.0,16.0,16.0,16.0,5.0,5.0,7.0,3,14,142.0,1006001010101000006,3134424323513,40122431222105,2112011110120
15496719161517557215,15.0,4.0,9.0,6.0,7.0,19.0,16.0,15.0,17.0,5.0,5.0,7.0,2,15,142.0,1006001010101000006,3134424323513,40122431222105,11111110210111
